Events_id,Cities,campaign_id,Start_date,End_date,Products,Category,base_price,Promotions,offers,promo_type,quantity_sold_before_promo,quantity_sold_after_promo,No_USe,Reveneu_before_promo,Reveneu_after_promo,IR,ISU,store_id
6f3e24,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,388,1129,1129,1164000,2822500,1658500,741,STHYD-6
79a95a,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,121,200,200,363000,500000,137000,79,STHYD-3
8cd1ec,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,124,648,324,43400,113400,70000,524,STCHE-1
e57227,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,25,18,18,1375,742.5,-632.5,-7,STCHE-6
79577d,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,348,337,337,54288,39429,-14859,-11,STBLR-9
dbaf92,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,301,454,454,51772,52318.96,546.96,153,STBLR-6
27bc6e,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,42,320,160,42840,163200,120360,278,STCBE-2
53bb94,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,402,611,611,345720,352058.2,6338.2,209,STHYD-2
2fe1bb,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,370,BOGOF,0.5,BOGOF,460,2336,1168,170200,432160,261960,1876,STCHE-1
e553f2,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,38,258,129,13300,45150,31850,220,STTRV-0
fc376a,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,106,844,422,108120,430440,322320,738,STHYD-0
fdd666,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,38,33,33,15770,10271.25,-5498.75,-5,STMLR-0
bbf357,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,40,57,57,7600,5415,-2185,17,STVSK-4
d180ef,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,341,531,531,58652,61192.44,2540.44,190,STBLR-7
4888d5,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,70,462,231,21000,69300,48300,392,STBLR-3
dead78,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,68,90,90,4216,2790,-1426,22,STVJD-0
c198da,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,19,15,15,7885,4668.75,-3216.25,-4,STMDU-2
3cb389,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,309,460,460,53148,53010.4,-137.6,151,STCHE-6
667c78,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,223,301,301,38356,34687.24,-3668.76,78,STVSK-4
02b894,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,477,658,658,410220,379139.6,-31080.4,181,STBLR-2
1bff17,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,112,85,85,6160,3506.25,-2653.75,-27,STCHE-6
d6ff76,Madurai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,28,192,96,28560,97920,69360,164,STMDU-2
d1e51d,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,42,260,130,12600,39000,26400,218,STCBE-4
8f2a5a,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,25,37,37,4750,3515,-1235,12,STVSK-2
87be33,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,120,1032,516,42000,180600,138600,912,STBLR-6
a1e541,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,311,385,385,53492,44367.4,-9124.6,74,STHYD-1
6a1a5a,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,250,755,755,750000,1887500,1137500,505,STVSK-0
361cfb,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,22,138,69,22440,70380,47940,116,STMLR-0
951bda,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,63,426,213,18900,63900,45000,363,STBLR-9
a692dc,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,270,340,340,46440,39181.6,-7258.4,70,STCHE-1
94953c,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,15,12,12,6225,3735,-2490,-3,STMLR-2
af100a,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,190,1504,752,38000,150400,112400,1314,STMLR-2
223d36,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,129,167,167,8385,5427.5,-2957.5,38,STMYS-0
ff43bf,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,91,116,116,17290,11020,-6270,25,STHYD-2
44838e,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,49,40,40,20335,12450,-7885,-9,STVJD-1
1fa488,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,31,210,105,9300,31500,22200,179,STVJD-0
73211e,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,182,223,223,31304,25698.52,-5605.48,41,STCBE-1
93a29e,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,28,22,22,1540,907.5,-632.5,-6,STCHE-4
ec5570,Vijayawada,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,71,95,95,4615,3087.5,-1527.5,24,STVJD-1
6ee2af,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,595,892,892,511700,513970.4,2270.4,297,STHYD-3
f3a7b2,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,306,416,416,52632,47939.84,-4692.16,110,STHYD-6
2186aa,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,19,15,15,1045,618.75,-426.25,-4,STCBE-3
e7bdad,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,24,160,80,24480,81600,57120,136,STMLR-1
f90ae9,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,82,646,323,28700,113050,84350,564,STCBE-0
348fe6,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,332,471,471,57104,54278.04,-2825.96,139,STBLR-8
17d5c1,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,52,346,173,18200,60550,42350,294,STCBE-0
8f5618,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,302,289,289,87580,62857.5,-24722.5,-13,STBLR-1
6bfa15,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,16,13,13,6640,4046.25,-2593.75,-3,STCBE-2
aac58d,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,52,408,204,61880,242760,180880,356,STBLR-6
ed0d01,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,108,145,145,6696,4495,-2201,37,STBLR-2
0eb41f,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,232,364,364,39904,41947.36,2043.36,132,STVSK-2
9b8658,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,73,97,97,13870,9215,-4655,24,STHYD-5
3bc352,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,54,340,170,16200,51000,34800,286,STHYD-3
40f110,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,122,163,163,7564,5053,-2511,41,STBLR-9
55fed8,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,40,60,60,4400,3300,-1100,20,STCBE-3
c1cdb5,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,135,286,286,405000,715000,310000,151,STCHE-0
c134bb,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,51,410,205,15300,61500,46200,359,STBLR-8
2361c6,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,94,83,83,39010,25833.75,-13176.25,-11,STBLR-0
b44f0e,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,136,288,288,408000,720000,312000,152,STHYD-2
607c9d,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,556,711,711,478160,409678.2,-68481.8,155,STCHE-2
5ea63d,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,82,126,126,5084,3906,-1178,44,STCBE-3
323aee,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Curtains,Home Care,300,BOGOF,0.5,BOGOF,36,238,119,10800,35700,24900,202,STVSK-0
114087,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,28,20,20,11620,6225,-5395,-8,STHYD-3
99482c,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,42,322,161,49980,191590,141610,280,STBLR-8
5ab1d5,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,98,76,76,40670,23655,-17015,-22,STCHE-6
97ad03,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,379,462,462,325940,266204.4,-59735.6,83,STCBE-1
b666fa,Trivandrum,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,57,55,55,3135,2268.75,-866.25,-2,STTRV-1
da3c49,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,270,313,313,232200,180350.6,-51849.4,43,STMLR-2
3459ec,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,468,636,636,402480,366463.2,-36016.8,168,STCHE-3
7f81c2,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,91,88,88,5005,3630,-1375,-3,STCHE-2
b17786,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,63,326,163,22050,57050,35000,263,STMLR-0
2cbc21,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,58,47,47,5220,3172.5,-2047.5,-11,STHYD-1
eacf93,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,24,34,34,4560,3230,-1330,10,STTRV-1
0f184e,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,89,80,80,4895,3300,-1595,-9,STVSK-0
52ec61,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,133,172,172,8645,5590,-3055,39,STBLR-8
541bef,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,234,322,322,40248,37107.28,-3140.72,88,STHYD-4
86a92b,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,42,45,45,7980,4275,-3705,3,STMLR-2
861116,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,96,84,84,39840,26145,-13695,-12,STBLR-7
c6d7c5,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,124,145,145,7688,4495,-3193,21,STMYS-3
b58c2d,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,499,703,703,429140,405068.6,-24071.4,204,STMYS-0
d59c23,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,252,224,224,39312,26208,-13104,-28,STCBE-3
68a7bc,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,322,276,276,93380,60030,-33350,-46,STBLR-5
f98db5,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,129,279,279,387000,697500,310500,150,STBLR-2
ffaba4,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,46,33,33,4140,2227.5,-1912.5,-13,STBLR-8
f725c0,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,228,1796,898,45600,179600,134000,1568,STCBE-3
f8e037,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,52,350,175,61880,208250,146370,298,STHYD-2
b526b4,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,525,756,756,451500,435607.2,-15892.8,231,STCHE-7
0491f4,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,38,58,58,7220,5510,-1710,20,STVSK-2
879d99,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,92,124,124,10120,6820,-3300,32,STHYD-5
ec3591,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,79,63,63,7110,4252.5,-2857.5,-16,STCHE-1
2db607,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,40,272,136,40800,138720,97920,232,STCBE-1
b78191,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,91,722,361,92820,368220,275400,631,STBLR-3
7b1d41,Mysuru,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,43,250,125,43860,127500,83640,207,STMYS-2
a6e691,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,294,2268,1134,58800,226800,168000,1974,STCHE-0
f21ef6,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,18,14,14,7470,4357.5,-3112.5,-4,STMLR-1
b999c5,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,406,2030,1015,81200,203000,121800,1624,STMYS-2
f6aa36,Visakhapatnam,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,63,54,54,26145,16807.5,-9337.5,-9,STVSK-3
d78c78,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,52,364,182,53040,185640,132600,312,STCHE-0
12573c,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,64,100,100,3968,3100,-868,36,STHYD-3
38ebfb,Coimbatore,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,27,20,20,1350,750,-600,-7,STCBE-1
5d23c1,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,40,58,58,2480,1798,-682,18,STVSK-4
449732,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,101,97,97,5555,4001.25,-1553.75,-4,STBLR-9
b83644,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,75,117,117,14250,11115,-3135,42,STBLR-6
17537,Madurai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,33,258,129,39270,153510,114240,225,STMDU-2
ab8eb3,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Fusion_Container_Set_of_3,Home Care,415,25% OFF,0.25,OFF,85,74,74,35275,23032.5,-12242.5,-11,STHYD-6
99ce6a,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,250,1374,687,50000,137400,87400,1124,STVSK-3
42b041,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,357,514,514,61404,59233.36,-2170.64,157,STBLR-1
fd5955,Coimbatore,Diwali,12-11-2023,18-11-2023,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,313,541,541,269180,311724.2,42544.2,228,STCBE-0
9.33E+11,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,40,308,154,47600,183260,135660,268,STBLR-3
268b09,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,49,378,189,17150,66150,49000,329,STMLR-1
dcaeaa,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Farm_Chakki_Atta (1KG),Grocery & Staples,290,25% OFF,0.25,OFF,276,242,242,80040,52635,-27405,-34,STBLR-7
d31787,Mysuru,Sankranti,10-01-2024,16-01-2024,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,50,25% OFF,0.25,OFF,25,20,20,1250,750,-500,-5,STMYS-2
f34069,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,90,25% OFF,0.25,OFF,61,57,57,5490,3847.5,-1642.5,-4,STBLR-9
4f40ed,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Sonamasuri_Rice (10KG),Grocery & Staples,860,33% OFF,0.33,OFF,564,721,721,485040,415440.2,-69599.8,157,STCHE-5
12bb06,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,351,319,319,54756,37323,-17433,-32,STHYD-1
5f2c41,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,54,370,185,64260,220150,155890,316,STCHE-6
e0de60,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_Suflower_Oil (1L),Grocery & Staples,156,25% OFF,0.25,OFF,327,294,294,51012,34398,-16614,-33,STHYD-6
152ae4,Hyderabad,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,51,57,57,3162,1767,-1395,6,STHYD-1
8e6ee5,Mangalore,Diwali,12-11-2023,18-11-2023,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,52,45,45,2860,1856.25,-1003.75,-7,STMLR-0
d0fd0e,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Doodh_Kesar_Body_Lotion (200ML),Personal Care,190,50% OFF,0.5,OFF,43,62,62,8170,5890,-2280,19,STBLR-0
4fa17c,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,327,503,503,56244,57965.72,1721.72,176,STCHE-4
bcf305,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,75,80,80,8250,4400,-3850,5,STCHE-5
66050c,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Double_Bedsheet_set,Home Care,1190,BOGOF,0.5,BOGOF,60,476,238,71400,283220,211820,416,STCHE-6
407f1c,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,117,938,469,40950,164150,123200,821,STBLR-2
e12c11,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,112,588,294,114240,299880,185640,476,STCHE-1
46d57b,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_High_Glo_15W_LED_Bulb,Home Appliances,350,BOGOF,0.5,BOGOF,94,658,329,32900,115150,82250,564,STBLR-9
e80ad8,Chennai,Diwali,12-11-2023,18-11-2023,Atliq_Cream_Beauty_Bathing_Soap (125GM),Personal Care,65,50% OFF,0.5,OFF,136,179,179,8840,5817.5,-3022.5,43,STCHE-7
f2bdcc,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Masoor_Dal (1KG),Grocery & Staples,172,33% OFF,0.33,OFF,337,478,478,57964,55084.72,-2879.28,141,STBLR-4
8d20b8,Bengaluru,Diwali,12-11-2023,18-11-2023,Atliq_Body_Milk_Nourishing_Lotion (120ML),Personal Care,110,50% OFF,0.5,OFF,75,95,95,8250,5225,-3025,20,STBLR-5
f88523,Trivandrum,Sankranti,10-01-2024,16-01-2024,Atliq_Scrub_Sponge_For_Dishwash,Home Care,55,25% OFF,0.25,OFF,10,9,9,550,371.25,-178.75,-1,STTRV-1
177b80,Mangalore,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,37,192,96,37740,97920,60180,155,STMLR-0
317699,Chennai,Sankranti,10-01-2024,16-01-2024,Atliq_Suflower_Oil (1L),Grocery & Staples,200,BOGOF,0.5,BOGOF,310,2492,1246,62000,249200,187200,2182,STCHE-2
ef6d6d,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,88,692,346,89760,352920,263160,604,STBLR-2
1e51ee,Visakhapatnam,Sankranti,10-01-2024,16-01-2024,Atliq_Lime_Cool_Bathing_Bar (125GM),Personal Care,62,50% OFF,0.5,OFF,43,51,51,2666,1581,-1085,8,STVSK-3
c55ec9,Bengaluru,Sankranti,10-01-2024,16-01-2024,Atliq_Home_Essential_8_Product_Combo,Combo1,3000,500 Cashback,500,Cashback,136,220,220,408000,550000,142000,84,STBLR-1
6bbadf,Hyderabad,Diwali,12-11-2023,18-11-2023,Atliq_waterproof_Immersion_Rod,Home Appliances,1020,BOGOF,0.5,BOGOF,43,254,127,43860,129540,85680,211,STHYD-1
